GENE        	noTX	1buff_12h	1buff_24h	1buff_48h	wnt3a_12h	wnt3a_24h	wnt3a_48h	wnt5a_12h	wnt5a_24h	wnt5a_48h
POU5F1P3    	0	0	0	0	0	0	0	0	0	0
POU5F1P4    	0	0	0	0	0	0	0	0	0	0
POU5F2      	0	0	0	0	0	0	0	0	0	0
POU6F1      	2	1	1	1	1	1	1	1	1	1
POU6F2      	0	0	0	0	0	0	0	0	0	0
PP12613     	0	0	0	0	0	0	0	0	0	0
PP14571     	0	0	0	0	1	0	0	0	0	0
PP2D1       	0	0	0	0	0	0	0	0	0	0
PP7080      	6	6	7	7	7	8	9	8	6	7
PPA1        	25	22	27	24	24	31	30	33	27	24
PPA2        	8	8	10	9	11	13	11	11	9	10
PPAN        	11	11	14	11	10	11	11	12	10	11
PPAN-P2RY11 	0	0	0	0	0	0	0	0	0	0
PPAP2A      	5	5	6	4	5	6	8	6	5	6
PPAP2B      	6	7	7	6	9	10	10	10	9	8
PPAP2C      	0	0	0	0	0	0	0	0	0	0
PPAPDC1A    	1	0	1	1	0	0	0	1	0	0
PPAPDC1B    	16	14	15	15	12	17	20	19	18	18
PPAPDC2     	4	4	5	5	4	5	5	6	6	5
PPAPDC3     	1	1	2	1	1	1	1	2	1	1
PPARA       	0	0	0	1	1	0	0	0	0	0
PPARD       	3	2	2	3	0	2	2	0	2	1
PPARG       	0	0	0	0	0	0	0	0	0	0
PPARGC1A    	1	1	1	1	1	1	1	1	1	1
PPARGC1B    	0	0	0	0	0	0	0	0	0	0
PPAT        	5	6	6	6	6	9	9	9	7	7
PPBP        	0	0	0	0	0	0	0	0	0	0
PPBPL2      	0	0	0	0	0	0	0	0	0	0
PPCDC       	2	2	1	1	2	2	2	2	2	2
PPCS        	21	20	16	19	15	19	22	23	22	23
PPDPF       	115	96	91	77	94	75	63	82	55	60
PPEF1       	0	0	0	0	0	0	0	0	0	0
PPEF2       	0	0	0	0	0	0	0	0	0	0
PPFIA1      	8	7	9	7	7	10	11	12	10	10
PPFIA2      	0	0	0	0	0	0	0	0	0	0
PPFIA3      	1	1	1	1	1	1	1	1	1	0
PPFIA4      	0	0	0	0	0	0	0	0	0	0
PPFIBP1     	0	0	0	0	5	0	5	5	0	0
PPFIBP2     	1	1	1	1	0	1	1	1	1	1
PPHLN1      	0	0	0	0	26	0	41	0	35	37
PPIA        	17	12	13	12	11	16	13	18	15	14
PPIAL4A     	0	0	0	0	0	0	0	0	0	0
PPIAL4B     	0	0	0	0	0	0	0	0	0	0
PPIAL4C     	0	0	0	0	0	0	0	0	0	0
PPIAL4E     	0	0	0	0	0	0	0	0	0	0
PPIAL4F     	0	0	0	0	0	0	0	0	0	0
PPIAL4G     	0	0	0	0	0	0	0	0	0	0
PPIB        	52	49	61	56	56	64	62	70	55	50
PPIC        	10	9	9	8	8	10	10	13	10	10
PPID        	15	13	16	14	14	20	20	19	17	18
PPIE        	0	4	4	4	3	7	6	6	6	5
PPIEL       	0	0	0	0	0	0	0	0	0	0
PPIF        	18	17	21	19	20	28	28	31	24	23
PPIG        	17	13	15	15	14	21	22	26	20	20
PPIH        	26	22	22	25	21	24	22	27	20	28
PPIL1       	33	28	36	32	30	42	43	50	40	40
PPIL2       	9	9	10	9	9	9	8	10	7	8
PPIL3       	17	13	19	16	18	22	18	18	18	16
PPIL4       	9	7	9	9	8	10	10	12	9	10
PPIL6       	0	0	0	0	0	0	0	0	0	0
PPIP5K1     	0	0	0	0	0	0	0	0	0	0
PPIP5K2     	9	10	11	10	9	14	15	16	14	13
PPL         	0	0	0	0	0	0	0	0	0	0
PPM1A       	6	6	6	6	6	7	8	8	7	8
PPM1B       	23	19	25	24	19	25	27	27	22	26
PPM1D       	12	12	13	13	11	17	17	19	16	16
PPM1E       	8	9	10	9	9	10	10	14	13	12
PPM1F       	3	3	3	2	2	3	3	3	3	3
PPM1G       	41	37	46	39	37	50	53	60	45	43
PPM1H       	1	1	1	1	3	3	4	2	2	2
PPM1J       	0	0	0	0	0	0	0	0	0	0
PPM1K       	1	1	1	2	1	1	2	2	2	2
PPM1L       	5	4	4	3	4	4	5	6	5	4
PPM1M       	2	2	2	2	2	2	1	2	1	2
PPM1N       	0	0	0	0	0	0	0	0	1	0
PPME1       	5	6	6	6	6	6	8	8	6	6
PPOX        	5	4	4	4	0	4	4	0	3	0
PPP1CA      	328	288	301	329	251	242	244	216	206	224
PPP1CB      	46	43	50	44	35	50	48	65	49	51
PPP1CC      	61	54	70	58	57	67	69	85	60	64
PPP1R10     	15	13	15	12	13	15	15	18	14	12
PPP1R11     	23	23	23	20	18	27	27	33	26	26
PPP1R12A    	17	17	18	18	16	21	23	28	24	23
PPP1R12B    	1	2	2	2	2	2	2	2	3	2
PPP1R12C    	5	4	5	4	5	4	4	5	4	3
PPP1R13B    	0	0	1	0	0	0	0	1	0	0
PPP1R13L    	0	0	0	0	0	0	0	0	0	0
PPP1R14A    	1	0	0	1	2	0	0	1	0	0
PPP1R14B    	13	18	18	11	15	12	9	15	8	9
PPP1R14C    	3	3	3	3	3	3	3	3	3	5
PPP1R14D    	0	0	1	0	0	0	0	0	0	0
PPP1R15A    	7	7	7	6	5	5	4	6	4	4
PPP1R15B    	9	8	9	7	8	10	12	12	10	8
PPP1R16A    	7	6	7	7	5	6	7	7	6	5
PPP1R16B    	2	2	3	2	1	0	0	2	2	0
PPP1R1A     	5	6	5	5	4	5	4	5	5	5
PPP1R1B     	0	0	0	0	0	0	0	0	0	0
PPP1R1C     	2	0	1	0	0	1	1	1	0	1
PPP1R2      	6	5	6	6	6	7	7	8	7	8
PPP1R2P3    	0	0	0	0	1	0	0	0	0	1
PPP1R2P9    	0	0	0	0	0	0	0	0	0	0
PPP1R3A     	0	0	0	0	0	0	0	0	0	0
PPP1R3B     	1	0	0	0	2	2	3	0	2	2
PPP1R3C     	0	0	0	0	0	0	0	0	0	0
PPP1R3D     	1	1	2	1	2	2	2	2	2	2
PPP1R3E     	0	1	1	0	1	1	1	1	0	1
PPP1R3F     	2	2	2	2	2	2	2	2	2	2
PPP1R3G     	0	0	0	0	0	0	0	0	0	0
PPP1R7      	29	25	32	26	22	37	36	42	36	35
PPP1R8      	24	23	21	23	21	29	27	34	25	27
PPP1R9A     	0	0	3	0	2	3	0	3	3	0
PPP1R9B     	6	8	8	6	5	6	7	8	6	6
PPP2CA      	42	40	46	40	37	48	47	60	43	43
PPP2CB      	24	22	30	27	22	30	28	39	30	30
PPP2R1A     	359	334	292	329	235	137	119	121	120	121
PPP2R1B     	8	8	9	9	7	12	13	13	12	10
PPP2R2A     	12	11	13	12	13	18	18	20	17	17
PPP2R2B     	7	7	7	8	9	8	7	7	8	7
PPP2R2C     	0	0	0	0	0	0	0	0	0	0
PPP2R2D     	17	16	17	17	15	23	24	24	21	23
PPP2R3A     	5	6	5	6	6	7	9	8	8	7
PPP2R3B     	0	0	0	0	0	0	0	0	0	0
PPP2R3B-AS1 	0	0	0	0	0	0	0	0	0	0
PPP2R3C     	18	16	20	19	16	25	25	30	25	26
PPP2R4      	41	47	40	45	33	26	28	26	24	24
PPP2R5A     	3	2	3	3	3	3	3	3	3	3
PPP2R5B     	1	1	1	1	1	1	1	2	1	1
PPP2R5C     	13	14	16	14	11	0	19	20	19	18
PPP2R5D     	21	18	18	18	14	14	15	14	12	11
PPP2R5E     	7	8	8	6	7	9	10	11	9	9
PPP3CA      	0	0	4	3	4	0	0	0	0	0
PPP3CB      	0	0	0	0	0	0	0	0	0	0
PPP3CC      	2	2	3	2	2	3	3	3	3	3
PPP3R1      	8	8	15	7	11	9	10	10	8	9
PPP3R2      	0	0	0	0	0	0	0	0	0	0
PPP4C       	26	25	31	27	30	25	24	30	21	22
PPP4R1      	21	22	22	20	15	19	19	25	22	21
PPP4R1L     	1	1	0	0	0	0	0	1	0	0
PPP4R2      	4	5	4	5	5	6	6	7	5	4
PPP4R4      	1	2	1	1	1	1	1	1	1	1
PPP5C       	17	15	18	18	14	13	14	16	11	11
PPP6C       	20	20	22	21	19	27	28	30	27	26
PPP6R1      	5	5	5	4	5	4	4	4	4	3
PPP6R2      	0	0	0	0	0	0	0	0	0	0
PPP6R3      	0	30	36	31	29	37	38	45	36	0
PPPDE1      	9	9	11	10	11	16	16	15	13	12
PPPDE2      	6	5	6	5	6	5	5	6	5	5
PPRC1       	6	6	6	5	6	6	7	7	6	5
PPT1        	31	31	30	28	28	41	40	36	32	33
PPT2        	34	0	35	0	25	24	27	0	0	24
PPT2-EGFL8  	0	0	0	0	0	0	0	0	0	0
PPTC7       	2	2	2	2	2	3	3	3	3	2
PPWD1       	12	10	14	10	9	16	17	18	16	16
PPY         	0	0	1	0	0	0	0	0	1	0
PPY2        	0	0	0	0	0	0	0	0	0	0
PPYR1       	0	0	0	0	0	0	0	0	0	0
PQBP1       	184	169	176	165	114	145	129	128	123	138
PQLC1       	16	14	13	15	11	11	10	11	11	10
PQLC2       	5	4	4	4	4	5	5	5	4	4
PQLC3       	2	2	1	2	2	2	1	3	2	2
PRAC        	0	0	0	0	0	0	0	0	0	0
PRADC1      	6	6	4	4	4	6	7	7	5	5
PRAF2       	23	22	27	24	20	24	24	28	21	22
PRAM1       	0	0	0	0	0	0	0	0	0	0
PRAME       	0	0	0	0	0	0	0	0	0	0
PRAMEF1     	0	0	0	0	0	0	0	0	0	0
PRAMEF10    	0	0	0	0	0	0	0	0	0	0
PRAMEF11    	0	0	0	0	0	0	0	0	0	0
PRAMEF12    	0	0	0	0	0	0	0	0	0	0
PRAMEF13    	0	0	0	0	0	0	0	0	0	0
PRAMEF14    	0	0	0	0	0	0	0	0	0	0
PRAMEF15    	0	0	0	0	0	0	0	0	0	0
PRAMEF16    	0	0	0	0	0	0	0	0	0	0
PRAMEF17    	0	0	0	0	0	0	0	0	0	0
PRAMEF18    	0	0	0	0	0	0	0	0	0	0
PRAMEF2     	0	0	0	0	0	0	0	0	0	0
PRAMEF20    	0	0	0	0	0	0	0	0	0	0
PRAMEF21    	0	0	0	0	0	0	0	0	0	0
PRAMEF22    	0	0	0	0	0	0	0	0	0	0
PRAMEF3     	0	0	0	0	0	0	0	0	0	0
PRAMEF4     	0	0	0	0	0	0	0	0	0	0
PRAMEF5     	0	0	0	0	0	0	0	0	0	0
PRAMEF6     	0	0	0	0	0	0	0	0	0	0
PRAMEF7     	0	0	0	0	0	0	0	0	0	0
PRAMEF8     	0	0	0	0	0	0	0	0	0	0
PRAMEF9     	0	0	0	0	0	0	0	0	0	0
PRAP1       	0	0	0	0	0	0	0	0	0	0
PRB1        	0	0	0	0	0	0	0	0	0	0
PRB2        	0	0	0	0	0	0	0	0	0	0
PRB3        	0	0	0	0	0	0	0	0	0	0
PRB4        	0	0	0	0	0	0	0	0	0	0
PRC1        	36	35	38	38	33	34	33	37	31	29
PRCC        	13	12	14	13	11	14	14	17	13	13
PRCD        	0	0	0	0	0	0	0	0	0	0
PRCP        	12	13	13	12	11	18	18	18	14	13
PRDM1       	0	0	0	0	0	0	0	0	0	0
PRDM10      	0	0	0	0	0	0	0	0	0	0
PRDM11      	0	0	1	0	0	0	1	0	0	0
PRDM12      	0	0	0	0	0	0	0	0	0	0
PRDM13      	0	0	0	0	0	0	0	0	0	0
PRDM14      	0	0	0	0	0	0	0	0	0	0
PRDM15      	2	2	2	2	1	2	2	2	2	2
PRDM16      	0	0	0	0	0	0	0	0	0	0
PRDM2       	8	8	8	7	7	7	8	9	8	7
PRDM4       	11	10	11	10	10	14	16	18	14	13
PRDM5       	2	2	2	2	2	2	2	2	2	2
PRDM6       	0	0	0	0	0	0	0	0	0	0
PRDM7       	0	0	0	0	0	0	0	0	0	0
PRDM8       	1	1	1	1	1	1	0	1	0	1
PRDM9       	0	0	0	0	0	0	0	0	0	0
PRDX1       	269	262	272	285	235	289	243	239	241	237
PRDX2       	86	80	103	84	81	104	107	125	90	99
PRDX3       	115	109	104	121	107	102	84	103	82	91
PRDX4       	37	33	40	34	37	50	49	58	44	44
PRDX5       	233	212	198	241	161	194	177	180	171	184
PRDX6       	47	41	47	42	42	56	55	66	51	49
PREB        	15	13	14	14	12	17	15	16	12	13
PRELID1     	58	57	66	57	58	70	58	61	53	55
PRELID2     	0	0	0	0	1	1	0	0	0	0
PRELP       	0	0	0	0	0	0	0	0	0	0
PREP        	7	6	6	6	5	6	6	7	6	5
PREPL       	10	9	12	10	10	15	15	16	14	13
PREX1       	14	13	15	13	12	14	17	19	15	13
PREX2       	9	7	8	8	7	9	11	14	11	12
PRF1        	0	0	0	0	0	0	0	0	0	0
PRG1        	0	0	0	0	0	0	0	0	0	0
PRG2        	0	0	0	0	0	0	0	0	0	0
PRG3        	0	0	0	0	0	0	0	0	0	0
PRG4        	0	0	0	0	0	0	0	0	0	0
PRH1        	0	0	0	0	0	0	0	0	0	0
PRH1-PRR4   	2	1	3	3	2	4	4	4	3	4
PRH2        	0	0	0	1	0	0	0	0	0	0
PRHOXNB     	0	0	0	0	0	0	0	0	0	0
PRIC285     	0	0	0	0	0	0	0	0	0	0
PRICKLE1    	0	0	0	0	0	0	0	0	0	0
PRICKLE2    	1	1	1	1	0	0	1	1	1	1
PRICKLE3    	0	0	0	0	0	0	0	0	0	0
PRICKLE4    	0	0	0	1	0	0	0	0	0	0
PRIM1       	14	13	16	13	13	20	20	21	16	16
PRIM2       	9	6	8	7	7	8	8	8	7	7
PRIMA1      	1	1	1	1	1	1	1	1	1	1
PRINS       	0	0	0	0	0	0	0	0	0	0
PRKAA1      	0	0	0	0	0	0	0	0	0	0
PRKAA2      	1	2	2	2	2	2	3	2	3	2
PRKAB1      	12	11	12	12	11	15	16	18	14	13
PRKAB2      	2	2	3	3	3	3	4	4	4	3
PRKACA      	15	13	14	14	12	10	10	11	9	7
PRKACB      	0	0	11	9	10	13	13	13	11	12
PRKACG      	0	0	0	0	0	0	0	0	0	0
PRKAG1      	48	46	40	47	34	36	36	37	33	34
PRKAG2      	5	5	6	5	5	4	4	7	7	6
PRKAG3      	0	0	0	0	0	0	0	0	0	0
PRKAR1A     	35	31	35	32	0	36	39	45	36	33
PRKAR1B     	5	4	4	5	3	3	3	3	3	3
PRKAR2A     	2	2	2	2	2	2	3	2	2	2
PRKAR2B     	9	9	11	9	8	13	14	16	12	13
PRKCA       	2	2	2	2	2	2	2	3	2	2
PRKCB       	0	0	0	0	0	0	0	0	0	0
PRKCD       	0	0	0	0	0	0	0	0	0	0
PRKCDBP     	0	0	0	0	0	0	0	0	0	0
PRKCE       	1	0	0	1	1	1	1	1	1	1
PRKCG       	1	0	0	0	0	0	1	0	0	0
PRKCH       	0	0	0	1	0	0	0	0	1	1
PRKCI       	5	5	5	5	5	6	7	7	6	6
PRKCQ       	0	0	0	0	1	1	1	0	1	0
PRKCSH      	34	40	36	39	32	31	35	33	28	32
PRKCZ       	10	6	8	10	8	8	6	9	7	7
PRKD1       	3	4	3	3	3	3	3	4	4	4
PRKD2       	9	10	9	9	7	8	9	8	7	8
PRKD3       	7	6	7	7	7	9	10	11	10	9
PRKDC       	21	21	23	22	22	26	32	31	28	26
PRKG1       	1	1	1	1	1	1	1	1	1	1
PRKG2       	0	0	0	0	0	0	0	0	0	0
PRKRA       	0	0	0	0	0	0	0	0	0	0
PRKRIP1     	9	8	8	8	8	9	7	9	8	9
PRKRIR      	1	1	1	1	1	1	1	2	1	1
PRKX        	3	3	3	3	3	4	4	4	3	3
PRKY        	0	0	0	0	0	0	0	0	0	0
PRL         	0	0	0	0	0	0	0	0	0	0
PRLH        	0	0	0	0	0	0	0	1	0	0
PRLHR       	0	0	0	0	0	0	0	0	0	0
PRLR        	0	0	0	0	0	0	0	0	0	0
PRM1        	0	0	0	0	0	0	0	0	0	0
PRM2        	0	0	0	0	0	0	0	0	0	0
PRM3        	0	0	0	0	0	0	0	0	0	0
PRMT1       	639	596	545	645	463	327	255	261	276	245
PRMT10      	1	2	2	1	1	2	2	3	2	2
PRMT2       	21	20	25	25	20	30	30	36	27	28
PRMT3       	8	6	8	8	8	11	11	10	10	8
PRMT5       	75	72	71	74	72	63	54	53	52	58
PRMT6       	11	10	11	11	10	17	17	17	14	14
PRMT7       	8	9	9	9	7	7	8	7	8	7
PRMT8       	4	5	5	5	9	9	11	7	5	6
PRND        	0	0	0	0	0	0	0	0	0	0
PRNP        	0	0	0	0	0	0	0	0	0	0
PRNT        	0	0	0	0	0	0	0	0	0	0
PRO0611     	0	0	0	0	0	0	0	0	0	0
PRO1768     	0	0	0	0	0	0	0	0	0	0
PROC        	0	0	0	0	0	0	0	0	0	0
PROCA1      	2	3	3	3	2	3	2	2	2	3
PROCR       	1	0	0	0	1	0	1	0	0	0
PRODH       	0	0	1	0	1	0	0	0	1	0
PRODH2      	0	0	0	0	0	0	0	0	0	0
PROK1       	0	0	0	0	0	0	0	0	0	0
PROK2       	0	0	0	0	0	0	0	0	0	0
PROKR1      	0	0	0	0	0	0	0	0	0	0
PROKR2      	0	0	0	0	0	0	0	0	0	0
PROL1       	0	0	0	0	0	0	0	0	0	0
PROM1       	0	23	0	24	0	32	31	0	35	35
PROM2       	0	0	0	0	0	0	0	0	0	0
PROP1       	0	0	0	0	0	0	0	0	0	0
PRORSD1P    	0	0	0	0	0	0	0	0	0	0
PROS1       	2	2	2	2	1	2	2	3	2	2
PROSC       	10	10	11	10	11	15	17	17	12	13
PROSER1     	27	27	31	26	26	31	33	39	32	31
PROX1       	3	3	4	4	3	3	4	4	5	4
PROX2       	0	0	0	0	0	0	0	0	0	0
PROZ        	0	0	0	0	0	0	0	0	0	0
PRPF18      	9	8	11	9	9	12	13	13	12	12
PRPF19      	18	16	20	17	16	18	18	20	15	14
PRPF3       	5	3	4	3	4	5	4	4	4	3
PRPF31      	19	18	20	19	16	21	22	26	19	19
PRPF38A     	15	14	16	15	15	21	21	24	19	20
PRPF38B     	0	0	0	0	0	12	14	0	12	12
PRPF39      	8	8	8	7	7	8	9	11	9	8
PRPF4       	11	9	12	11	11	15	16	17	14	15
PRPF40A     	16	15	18	16	15	22	24	25	21	21
PRPF40B     	2	0	1	1	2	1	1	1	1	1
PRPF4B      	9	8	9	9	8	11	12	14	11	11
PRPF6       	16	14	17	15	13	19	20	23	19	15
PRPF8       	34	30	36	31	31	38	40	48	36	35
PRPH        	0	0	0	0	1	0	0	0	0	0
PRPH2       	0	0	0	0	0	0	0	0	0	0
PRPS1       	49	36	34	37	39	27	29	24	23	21
PRPS1L1     	0	0	0	0	0	0	0	0	0	0
PRPS2       	0	0	0	0	0	0	0	0	0	0
PRPSAP1     	16	17	20	18	16	25	26	30	23	23
PRPSAP2     	20	19	24	20	17	30	30	38	30	29
PRR11       	6	6	6	5	5	7	7	8	6	6
PRR12       	4	4	4	3	3	2	3	3	2	2
PRR13       	9	11	13	11	10	11	12	13	11	11
PRR14       	13	12	13	11	11	13	14	14	12	13
PRR14L      	5	5	5	4	4	6	8	7	6	5
PRR15       	0	0	0	0	0	0	0	0	0	0
PRR15L      	0	0	0	0	0	0	0	0	0	0
PRR16       	14	14	14	13	13	17	16	23	19	20
PRR18       	0	0	0	0	0	0	0	0	0	0
PRR19       	2	3	3	3	3	3	2	3	2	1
PRR20B      	0	0	0	0	0	0	0	0	0	0
PRR21       	0	0	0	0	0	0	0	0	0	0
PRR22       	3	2	2	3	3	2	2	2	2	2
PRR23A      	0	0	0	0	0	0	0	0	0	0
PRR23B      	0	0	0	0	0	0	0	0	0	0
PRR23C      	0	0	0	0	0	0	0	0	0	0
PRR24       	26	32	24	33	23	20	22	24	21	25
PRR25       	0	0	0	0	0	0	0	0	0	0
PRR3        	6	5	7	7	6	7	7	8	6	6
PRR4        	6	4	3	9	8	7	3	10	9	8
PRR5        	11	9	0	0	10	7	5	6	6	0
PRR5-ARHGAP8	0	0	0	0	0	0	0	0	0	0
PRR5L       	3	3	3	3	5	7	7	4	4	4
PRR7        	0	0	0	0	0	0	0	0	0	0
PRR9        	0	0	0	0	0	0	0	0	0	0
PRRC1       	8	9	10	8	8	10	11	13	11	10
PRRC2A      	13	12	13	12	11	11	12	14	11	10
PRRC2B      	15	13	15	14	12	15	17	19	16	15
PRRC2C      	26	25	29	27	25	32	35	42	32	32
PRRG1       	5	4	0	4	5	0	0	6	0	0
PRRG2       	1	0	1	1	0	0	1	0	1	1
PRRG3       	0	0	0	0	0	0	0	0	0	0
PRRG4       	0	0	0	0	0	0	0	0	0	0
PRRT1       	3	3	3	3	4	2	3	3	2	3
PRRT2       	1	1	1	1	1	1	1	0	1	0
PRRT3       	2	2	2	2	2	1	1	1	1	1
PRRT4       	0	0	0	0	0	0	0	0	0	0
PRRX1       	0	0	0	0	0	0	0	0	0	0
PRRX2       	1	1	1	1	2	1	2	1	1	1
PRSS1       	0	0	0	0	0	0	0	0	0	0
PRSS12      	1	1	1	1	1	1	1	1	1	1
PRSS16      	2	1	1	1	1	1	1	1	1	1
PRSS2       	0	0	0	0	0	0	0	0	0	0
PRSS21      	0	0	0	0	0	0	0	0	0	0
PRSS22      	0	0	0	0	0	0	0	0	0	0
PRSS23      	8	8	8	9	3	5	5	13	11	11
PRSS27      	1	1	1	1	1	1	1	1	1	1
PRSS3       	0	0	0	0	0	0	0	0	0	0
PRSS30P     	0	0	0	0	0	0	0	0	0	0
PRSS33      	0	0	0	0	0	0	0	0	0	0
PRSS35      	4	3	3	2	3	2	2	3	4	3
PRSS36      	0	0	0	0	0	0	0	0	0	0
PRSS37      	0	0	0	0	0	0	0	0	0	0
PRSS38      	0	0	0	0	0	0	0	0	0	0
PRSS41      	0	0	0	0	0	0	0	0	0	0
PRSS42      	0	0	0	0	0	0	0	0	0	0
PRSS45      	0	0	0	0	0	0	0	0	0	0
PRSS46      	0	0	0	0	0	0	0	0	0	0
PRSS48      	0	0	0	0	0	0	0	0	0	0
PRSS50      	0	0	0	0	0	0	0	0	0	0
PRSS53      	0	0	0	0	0	0	0	0	0	0
PRSS54      	0	0	0	0	0	0	0	0	0	0
PRSS55      	0	0	0	0	0	0	0	0	0	0
PRSS56      	0	0	0	0	0	0	0	0	0	0
PRSS57      	0	0	0	0	0	0	0	0	0	0
PRSS58      	0	0	0	0	0	0	0	0	0	0
PRSS8       	0	0	0	0	0	0	0	0	0	0
PRTFDC1     	7	6	10	7	8	11	10	11	9	10
PRTG        	18	18	21	18	18	23	30	30	25	22
PRTN3       	0	0	0	0	0	0	0	0	0	0
PRUNE       	4	3	3	3	3	3	4	4	3	2
PRUNE2      	0	0	0	1	0	0	1	0	0	0
PRX         	1	1	1	1	0	0	0	0	0	1
PRY         	0	0	0	0	0	0	0	0	0	0
PSAP        	0	0	0	0	0	0	0	0	0	0
PSAPL1      	0	0	0	0	0	0	0	0	0	0
PSAT1       	43	46	45	43	50	59	54	52	46	47
PSCA        	0	0	0	0	0	0	0	0	0	0
PSD         	3	2	2	2	1	1	1	2	2	2
PSD2        	0	0	0	0	0	0	0	0	0	0
PSD3        	8	8	9	9	9	10	13	12	12	10
PSD4        	0	0	0	0	0	0	1	0	0	0
PSEN1       	0	0	0	0	0	0	15	0	0	0
PSEN2       	0	0	0	0	0	0	0	0	0	0
PSENEN      	19	16	20	21	17	15	20	18	13	15
PSG1        	0	0	0	0	0	0	0	0	0	0
PSG10P      	0	0	0	0	0	0	0	0	0	0
PSG11       	0	0	0	0	0	0	0	0	0	0
PSG2        	0	0	0	0	0	0	0	0	0	0
PSG3        	0	0	0	0	0	0	0	0	0	0
PSG4        	0	0	0	0	0	0	0	0	0	0
PSG5        	0	0	0	0	0	0	0	0	0	0
PSG6        	0	0	0	0	0	0	0	0	0	0
PSG7        	0	0	0	0	0	0	0	0	0	0
PSG8        	0	0	0	0	0	0	0	0	0	0
PSG9        	0	0	0	0	0	0	0	0	0	0
PSIMCT-1    	6	7	7	6	8	8	8	10	8	6
PSIP1       	0	0	44	0	0	0	49	0	0	0
PSKH1       	5	5	5	7	4	4	4	4	4	5
PSKH2       	0	0	0	0	0	0	0	0	0	0
PSMA1       	108	115	105	116	91	115	117	113	99	102
PSMA2       	42	34	44	38	31	45	41	53	42	46
PSMA3       	43	35	38	42	39	49	47	49	39	42
PSMA4       	222	208	187	208	157	164	160	163	160	159
PSMA5       	8	7	8	8	8	10	10	11	9	9
PSMA6       	24	23	30	27	25	27	26	32	25	24
PSMA7       	52	46	56	51	43	54	59	70	51	53
PSMA8       	0	0	0	0	0	0	0	0	0	0
PSMB1       	93	81	97	78	71	82	83	110	73	83
PSMB10      	7	7	8	7	5	6	8	7	7	7
PSMB11      	0	0	0	0	0	0	0	0	0	0
PSMB2       	17	15	19	16	16	18	17	21	17	17
PSMB3       	78	66	77	69	58	73	69	92	66	78
PSMB4       	66	61	74	64	51	65	64	81	62	61
PSMB5       	327	326	320	322	274	356	336	314	298	311
PSMB6       	79	68	83	74	65	75	74	97	70	79
PSMB7       	247	220	222	250	213	302	294	291	262	270
PSMB8       	0	0	0	0	0	0	0	0	0	0
PSMB9       	0	0	0	0	0	0	0	0	0	0
PSMC1       	0	0	1	1	1	0	0	0	0	1
PSMC2       	17	15	19	16	15	25	21	25	20	21
PSMC3       	24	20	27	23	21	26	27	33	23	22
PSMC3IP     	42	43	40	45	35	34	33	35	35	40
PSMC4       	114	99	103	103	85	89	86	82	86	83
PSMC5       	159	152	165	161	131	180	162	169	165	167
PSMC6       	8	8	9	8	8	11	11	12	10	12
PSMD1       	38	35	41	38	35	48	48	54	44	44
PSMD10      	41	37	40	35	28	48	47	49	43	46
PSMD11      	30	29	35	28	25	38	38	43	31	30
PSMD12      	19	17	19	18	17	23	23	22	22	20
PSMD13      	0	51	51	47	44	29	26	28	26	27
PSMD14      	40	37	46	39	37	48	46	60	43	44
PSMD2       	17	17	21	18	17	22	23	26	22	20
PSMD3       	31	32	34	33	26	30	33	37	27	27
PSMD4       	13	11	14	13	10	13	14	17	12	12
PSMD5       	10	10	12	9	9	15	14	17	13	12
PSMD6       	45	39	47	44	39	57	55	67	51	51
PSMD7       	35	28	38	30	29	40	39	49	37	37
PSMD8       	34	32	39	36	28	38	37	46	34	37
PSMD9       	17	14	17	15	14	15	16	18	13	14
PSME1       	75	72	82	82	55	84	80	98	91	97
PSME2       	13	12	16	14	12	15	15	20	14	15
PSME3       	34	31	38	37	34	43	44	46	38	37
PSME4       	5	4	5	5	4	6	6	6	6	5
PSMF1       	17	16	19	16	16	22	23	24	20	18
PSMG1       	52	43	54	52	52	68	52	55	50	50
PSMG2       	42	46	46	52	46	56	56	58	54	53
PSMG3       	67	64	53	52	40	48	37	37	45	47
PSMG4       	51	41	53	45	45	45	39	42	47	44
PSORS1C1    	0	0	0	0	0	0	0	0	0	0
PSORS1C2    	0	0	0	0	0	0	0	0	0	0
PSORS1C3    	0	0	0	0	0	0	0	0	0	0
PSPC1       	25	24	29	26	20	31	33	40	32	32
PSPH        	10	7	10	9	9	11	13	13	11	12
PSPN        	3	3	2	2	5	1	2	3	1	1
PSRC1       	0	0	0	0	0	0	0	0	0	18
PSTK        	5	3	4	4	4	6	5	6	6	6
PSTPIP1     	0	0	0	0	0	0	0	0	0	0
PSTPIP2     	3	2	3	3	3	3	3	3	2	3
PTAFR       	0	0	0	0	0	0	0	0	0	0
PTAR1       	5	4	5	5	6	8	8	7	6	6
PTBP1       	225	200	199	214	208	160	150	141	148	146
PTBP2       	29	28	33	29	22	33	32	45	34	33
PTCD1       	4	4	4	5	4	1	5	5	4	4
PTCD2       	2	3	3	4	4	5	4	5	4	3
PTCD3       	6	5	7	7	6	9	10	10	9	8
PTCH1       	0	9	11	0	9	0	0	0	0	0
PTCH2       	0	1	0	0	0	0	0	0	0	0
PTCHD1      	0	0	0	0	0	0	0	0	0	0
PTCHD2      	1	1	1	1	1	1	1	1	1	1
PTCHD3      	0	0	0	0	0	0	0	0	0	0
